"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-07-01 00:00:00,0.144,0,0,0,18.65,99.1,0,877.1791
2021-07-01 00:10:00,0.266,0,0,0,18.75,99,0,877.2605
2021-07-01 00:20:00,0.147,0,0,0,18.77,99.2,0,877.1461
2021-07-01 00:30:00,0.099,0,0,0,18.69,99.5,0,877.113
2021-07-01 00:40:00,0.097,0,0,0,18.74,99.6,0,876.982
2021-07-01 00:50:00,0.126,0,0,0,18.65,99.7,0,876.7543
2021-07-01 01:00:00,0.283,0,0,0,18.73,99.7,0,876.7697
2021-07-01 01:10:00,0.285,0,0,0,18.8,99.8,0,876.4506
2021-07-01 01:20:00,0.352,0,0,0,18.92,99.8,0,876.5652
2021-07-01 01:30:00,0.205,0,0,0,18.92,99.8,0,876.1887
2021-07-01 01:40:00,0.231,0,0,0,18.95,99.9,0,876.1079
2021-07-01 01:50:00,0.302,0,0,0,18.98,99.9,0,876.1238
2021-07-01 02:00:00,0.322,0,0,0,19.04,100,0,875.8693
2021-07-01 02:10:00,0.323,0,0,0,19.1,100,0,875.7556
2021-07-01 02:20:00,0.34,0,0,0,19.17,100,0,875.6001
2021-07-01 02:30:00,0.314,0,0,0,19.2,100,0,875.6089
2021-07-01 02:40:00,0.122,0,0,0,19.17,100,0,875.3796
2021-07-01 02:50:00,0.238,0,0,0,19.12,100,0,875.5186
2021-07-01 03:00:00,0.344,0,0,0,19.14,100,0,875.3879
2021-07-01 03:10:00,0.297,0,0,0,19.15,100,0,875.5177
2021-07-01 03:20:00,0.241,0,0,0,19.12,100,0,875.1751
2021-07-01 03:30:00,0.195,0,0,0,19.1,100,0,875.2733
2021-07-01 03:40:00,0.333,0,0,0,19.14,100,0,875.4459
2021-07-01 03:50:00,0.346,0,0,0,19.2,100,0,875.3389
2021-07-01 04:00:00,0.312,0,0,0,19.25,100,0,875.6085
2021-07-01 04:10:00,0.199,0,0,0,19.2,100,0,875.7313
2021-07-01 04:20:00,0.279,0,0,0,19.19,100,0.108,875.6498
2021-07-01 04:30:00,0.092,0.019,0,0,19.05,100,0.682,875.8205
2021-07-01 04:40:00,0.243,0,0,0,19.11,100,0,875.5275
2021-07-01 04:50:00,0.334,0,0,0,19.26,100,0,875.6495
2021-07-01 05:00:00,0.27,0,0,0,19.29,100,0.033,875.9521
2021-07-01 05:10:00,0.138,0,0,0,19.18,100,0.075,876.0508
2021-07-01 05:20:00,0.223,0,0,0,19.11,100,0.002,876.0659
2021-07-01 05:30:00,0.314,0,0,0,19.04,100,0.287,876.0266
2021-07-01 05:40:00,0.319,0,0,0,19.06,100,0.627,876.2629
2021-07-01 05:50:00,0.334,0,0,0,19,100,0.35,876.2134
