"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2021-10-01 00:00:00,0.158,0.104,0,0,18.97,93.9,0,878.9777
2021-10-01 00:10:00,0.159,0.056,0,0,19.02,93.3,0,878.9951
2021-10-01 00:20:00,0.286,0.186,0,0,18.91,93.3,0.168,878.9703
2021-10-01 00:30:00,0.172,0,0,0,19,93.8,0.736,879.0342
2021-10-01 00:40:00,0,0,0,0,19,94,0.489,878.9133
2021-10-01 00:50:00,0.054,0.3,0,0,18.7,96.4,1.012,878.9132
2021-10-01 01:00:00,0.012,0.2,0,0,18.41,97.3,0.294,878.887
2021-10-01 01:10:00,0.209,0.101,0,0,18.18,98.2,0.653,878.6518
2021-10-01 01:20:00,0.183,0,0,0,18.21,98.5,0.071,878.7164
2021-10-01 01:30:00,0.277,0,0,0,18.25,98.3,0,878.5445
2021-10-01 01:40:00,0.241,0,0,0,18.13,98.4,0,878.5035
2021-10-01 01:50:00,0.304,0,0,0,18.21,98.4,0,878.1919
2021-10-01 02:00:00,0.297,0,0,0,18.26,98.5,0,877.9066
2021-10-01 02:10:00,0.323,0,0,0,18.23,98.9,0,877.6781
2021-10-01 02:20:00,0.157,0,0,0,18.14,99.1,0,877.5793
2021-10-01 02:30:00,0.275,0,0,0,18.27,98.8,0,877.2441
2021-10-01 02:40:00,0.281,0,0,0,18.31,98.8,0,877.1786
2021-10-01 02:50:00,0.366,0,0,0,18.32,99.2,1.121,877.2444
2021-10-01 03:00:00,0.315,0,0,0,18.22,99.7,1.826,877.1129
2021-10-01 03:10:00,0.186,0.044,0,0,18.05,100,1.883,877.0151
2021-10-01 03:20:00,0.244,0,0,0,17.88,100,1.945,876.869
2021-10-01 03:30:00,0.218,0.133,0,0,17.7,100,1.819,877.0799
2021-10-01 03:40:00,0.079,0.001,0,0,17.58,100,0.637,877.1143
2021-10-01 03:50:00,0.188,0,0,0,17.52,100,0,877.3262
2021-10-01 04:00:00,0.356,0,0,0,17.61,100,0,877.3011
2021-10-01 04:10:00,0.316,0,0,0,17.54,100,0.17,877.3835
2021-10-01 04:20:00,0.19,0.071,0,0,17.46,100,0.885,877.506
2021-10-01 04:30:00,0.191,0,0,0,17.43,100,0,877.1876
2021-10-01 04:40:00,0.347,0,0,0,17.55,100,0,877.2027
2021-10-01 04:50:00,0.365,0,0,0,17.73,100,0,877.343
2021-10-01 05:00:00,0.347,0,0,0,17.8,100,0,877.2689
2021-10-01 05:10:00,0.371,0,0,0,17.81,100,0,877.3749
2021-10-01 05:20:00,0.353,0,0,0,17.85,100,0,877.3431
2021-10-01 05:30:00,0.325,0,0,0,17.9,100,0,877.4975
2021-10-01 05:40:00,0.368,0,0,0,17.96,100,0,877.4407
