"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2022-10-01 00:00:00,0.024,0,0,0,21.11,82.4,0.347,875.6172
2022-10-01 00:10:00,0.018,0,0,0,21.21,82.1,0,875.6492
2022-10-01 00:20:00,0.01,0,0,0,21.11,83.2,0.557,875.5268
2022-10-01 00:30:00,0.026,0,0,0,20.95,83.9,0.434,875.5266
2022-10-01 00:40:00,0.031,0,0,0,21.03,82.5,0.747,875.4124
2022-10-01 00:50:00,0.015,0,0,0,20.67,86.8,1.034,875.5351
2022-10-01 01:00:00,0.028,0,0,0,20.44,86,1.284,875.5513
2022-10-01 01:10:00,0.024,0,0,0,20.66,84.4,0.135,875.5595
2022-10-01 01:20:00,0.128,0,0,0,20.55,85.8,1.004,875.5758
2022-10-01 01:30:00,0.023,0,0,0,19.93,89.2,2,875.4529
2022-10-01 01:40:00,0.012,0,0,0,19.57,89.3,2.44,875.3467
2022-10-01 01:50:00,0.013,0,0,0,19.57,89.2,1.735,875.2241
2022-10-01 02:00:00,0.021,0,0,0,19.65,89.2,1.543,875.2324
2022-10-01 02:10:00,0.123,0,0,0,19.51,88.6,2.149,875.2569
2022-10-01 02:20:00,0.273,0,0,0,19.51,87.2,1.891,875.2161
2022-10-01 02:30:00,0.285,0,0,0,19.78,84.4,1.398,875.2324
2022-10-01 02:40:00,0.171,0,0,0,20.46,81.3,0.298,875.2324
2022-10-01 02:50:00,0.024,0,0,0,20.39,83.4,0.046,875.2241
2022-10-01 03:00:00,0.01,0,0,0,19.89,85.4,0.818,875.0769
2022-10-01 03:10:00,0.004,0,0,0,19.51,87.5,0.788,874.9868
2022-10-01 03:20:00,0.011,0,0,0,19.36,87.6,1.478,874.9052
2022-10-01 03:30:00,0.016,0,0,0,19.27,86.4,1.498,874.8314
2022-10-01 03:40:00,0.015,0,0,0,18.96,87.6,1.183,874.7171
2022-10-01 03:50:00,0.009,0,0,0,18.98,87.6,0.616,874.7416
2022-10-01 04:00:00,0.014,0,0,0,19.02,86.5,0,874.7416
2022-10-01 04:10:00,0.012,0,0,0,18.88,87.8,0.048,874.8809
2022-10-01 04:20:00,0.102,0,0,0,18.57,88.6,0.968,874.9052
2022-10-01 04:30:00,0.043,0,0,0,18.31,90.3,1.7,874.9052
2022-10-01 04:40:00,0.095,0,0,0,18.03,90.2,1.756,874.9053
2022-10-01 04:50:00,0.159,0,0,0,18.09,88.8,1.449,875.0115
2022-10-01 05:00:00,0.041,0,0,0,17.88,88.9,1.913,875.0037
2022-10-01 05:10:00,0.064,0,0,0,17.74,89.1,2.363,875.0687
2022-10-01 05:20:00,0.028,0,0,0,17.69,89,2.233,875.0446
2022-10-01 05:30:00,0.032,0,0,0,17.58,89.2,2.298,875.1745
